Delivery Date,Trade Provider,Item Name,Purchase Cost Total,Quantity Ordered (NUMBER),Unit Measurement,Excess %
13/1/2024,Placemakers,H1.2 - 100x45 - bracing & steel packing,378,100,m,25.00%
13/1/2024,Placemakers,H1.2 - 100x45 - bracing & steel packing,378,100,m,25.00%
13/1/2024,Placemakers,H1.2 - 100x45 - bracing & steel packing,1020.4,200,m,25.00%
13/1/2024,Placemakers,H1.2 - 100x45 - bracing & steel packing,912.4,180,m,25.00%
13/1/2024,Placemakers,H1.2 - 100x45 - bracing & steel packing,912.4,180,m,25.00%
13/1/2024,Placemakers,H1.2 - 100x45 - bracing & steel packing,912.5,180,m,25.00%
13/1/2024,Placemakers,H1.2 - 100x45 - bracing & steel packing,1100.56,220,m,25.00%
13/1/2024,Placemakers,H1.2 - 100x45 - bracing & steel packing,912.5,180,m,25.00%
13/1/2024,CSR building,Hebel walls,39000,320,sheet,5.00%
13/1/2024,Placemakers,3600x1200 & 2400x1200 flooring,8600,56,sheet,10.00%
13/1/2024,Placemakers,3600x1200 & 2400x1200 flooring,14000,90,sheet,10.00%
11/3/2025,Placemakers,Abodo cladding,60000,3616,m,20.00%
11/3/2025,Placemakers,cavity battens,3200,1210.1,m,15.00%
11/3/2025,Placemakers,flashings/vent strips for abodo,3000,135,m,10.00%
11/3/2025,Placemakers,abodo scriber/eave mould,4000,380,m,10.00%
17/2/2025,Placemakers,roof packing & purlins & ply for attic,11000,2000,m,15.00%
11/3/2025,Placemakers,Oblique weatherboards and flashings,13000,738,m,15.00%
25/2/2025,Placemakers,Soffits units - hardiflex and villaboard ,2031.24,50,sheet,10.00%