Delivery Date,Stage,Trade Provider,Item Name,Material,Sub-Material,Excess %,Density,Cubic m3,Weight / unit,Total Material Weight,Waste Weight,Waste Value,Unit Quantities,Unit Measure,Price / Unit,Purchase Cost Total,DO NOT TOUCH,Landfill,Cleanfill,Recycle,Reuse,Estimated Destination
13/01/2024,N/A,Placemakers,H1.2 - 100x45 - bracing & steel packing,Timber,Treated,25.00%,420,0.0045,1.89,189,47.25,94.5,100,m,3.78,378,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
13/01/2024,N/A,Placemakers,H1.2 - 100x45 - bracing & steel packing,Timber,Treated,25.00%,420,0.0045,1.89,189,47.25,94.5,100,m,3.78,378,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
13/01/2024,N/A,Placemakers,H1.2 - 100x45 - bracing & steel packing,Timber,Treated,25.00%,420,0.0045,1.89,378,94.5,255.1,200,m,5.102,1020.4,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
13/01/2024,N/A,Placemakers,H1.2 - 100x45 - bracing & steel packing,Timber,Treated,25.00%,420,0.0045,1.89,340.2,85.05,228.1,180,m,5.068888889,912.4,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
13/01/2024,N/A,Placemakers,H1.2 - 100x45 - bracing & steel packing,Timber,Treated,25.00%,420,0.0045,1.89,340.2,85.05,228.1,180,m,5.068888889,912.4,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
13/01/2024,N/A,Placemakers,H1.2 - 100x45 - bracing & steel packing,Timber,Treated,25.00%,420,0.0045,1.89,340.2,85.05,228.125,180,m,5.069444444,912.5,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
13/01/2024,N/A,Placemakers,H1.2 - 100x45 - bracing & steel packing,Timber,Treated,25.00%,420,0.0045,1.89,415.8,103.95,275.14,220,m,5.002545455,1100.56,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
13/01/2024,N/A,Placemakers,H1.2 - 100x45 - bracing & steel packing,Timber,Treated,25.00%,420,0.0045,1.89,340.2,85.05,228.125,180,m,5.069444444,912.5,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
13/01/2024,N/A,CSR building,Hebel walls,Concrete or Masonry,Concrete-based,5.00%,2400,0.054,129.6,41472,2073.6,1950,320,sheet,121.875,39000,Reuse,FALSE,FALSE,FALSE,TRUE,"1 Golden Fall Road, Hobsonville, Auckland 0616, New Zealand"
13/01/2024,N/A,Placemakers,3600x1200 & 2400x1200 flooring,Timber,Treated,10.00%,420,0.0864,36.288,2032.128,203.2128,860,56,sheet,153.5714286,8600,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
13/01/2024,N/A,Placemakers,3600x1200 & 2400x1200 flooring,Timber,Treated,10.00%,420,0.0576,24.192,2177.28,217.728,1400,90,sheet,155.5555556,14000,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
11/03/2025,N/A,Placemakers,Abodo cladding,Timber,Weatherboard,20.00%,480,0.0036,1.728,6248.448,1249.6896,12000,3616,m,16.59292035,60000,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
11/03/2025,N/A,Placemakers,cavity battens,Timber,Treated,15.00%,420,0.001875,0.7875,952.95375,142.9430625,480,1210.1,m,2.644409553,3200,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
11/03/2025,N/A,Placemakers,flashings/vent strips for abodo,Metals,Aluminium,10.00%,2700,0.00075,2.025,273.375,27.3375,300,135,m,22.22222222,3000,Recycle,FALSE,FALSE,TRUE,FALSE,"337 Lincoln Road, Henderson, Auckland 0610"
11/03/2025,N/A,Placemakers,abodo scriber/eave mould,Timber,Treated,10.00%,420,0.00108,0.4536,172.368,17.2368,400,380,m,10.52631579,4000,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
17/02/2025,N/A,Placemakers,roof packing & purlins & ply for attic,Timber,Timber,15.00%,500,0.0038,1.9,3800,570,1650,2000,m,5.5,11000,Recycle,FALSE,FALSE,TRUE,FALSE,"1 Victoria Street, Onehunga, Auckland 1061"
11/03/2025,N/A,Placemakers,Oblique weatherboards and flashings,Concrete or Masonry,Fibre Cement (Cladding),15.00%,1650,0.0042,6.93,5114.34,767.151,1950,738,m,17.61517615,13000,Reuse,FALSE,FALSE,FALSE,TRUE,"1 Golden Fall Road, Hobsonville, Auckland 0616, New Zealand"
25/02/2025,N/A,Placemakers,Soffits units - hardiflex and villaboard ,Concrete or Masonry,Fibre Cement (Cladding),10.00%,1650,0.0072,11.88,594,59.4,203.124,50,sheet,40.6248,2031.24,Reuse,FALSE,FALSE,FALSE,TRUE,"1 Golden Fall Road, Hobsonville, Auckland 0616, New Zealand"
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,NA,,#VALUE!,#VALUE!,#VALUE!,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 
,,,,,,,,,0,0,0,0,,,#DIV/0!,, ,FALSE,FALSE,FALSE,FALSE, 